x,y,colour
314.5625,260.375,-4226771
106.96875,302.3125,-79826
315.65625,241.46875,-13524140
315.59375,241.25,-2286473
289.90625,303.28125,-13524140
314.34375,260.59375,-79826
289.90625,303.28125,-13524140
406.125,260.0,-2286473
314.5,259.65625,-79826
331.46875,251.46875,-4226771
331.34375,254.375,-79826
400.28125,255.9375,-79826
321.4375,252.3125,-13524140
298.0625,282.6875,-13524140
312.875,260.28125,-79826
379.125,226.15625,-13524140
330.84375,240.875,-79826
342.53125,234.6875,-13532483
291.3125,205.1875,-2286473
289.0625,304.65625,-13532483
177.09375,196.125,-79826
177.03125,196.125,-79826
177.03125,196.25,-79826
322.4375,231.4375,-13524140
259.1875,280.09375,-13524140
47.78125,181.8125,-4226771
350.78125,258.78125,-13524140
326.125,248.25,-2286473
327.65625,262.1875,-13532483
206.1875,359.8125,-2286473
206.25,360.03125,-13532483
322.0,234.5,-13524140
313.84375,250.28125,-13524140
414.5,241.40625,-79826
415.6875,240.125,-79826
415.6875,240.125,-79826
319.65625,255.875,-79826
415.65625,240.125,-79826
314.84375,260.5,-79826
343.9375,221.53125,-79826
383.78125,233.09375,-2286473
340.8125,165.0,-13524140
103.90625,332.75,-79826
380.5625,120.90625,-13524140
314.625,260.28125,-79826
323.53125,255.875,-13524140
351.3125,160.6875,-2286473
314.0,252.53125,-13524140
370.6875,213.9375,-2286473
344.375,250.84375,-4226771
101.75,89.03125,-79826
322.78125,258.5625,-2286473
365.75,432.875,-13524140
312.6875,248.4375,-13524140
281.8125,206.15625,-13532483
327.9375,250.625,-79826
351.3125,160.6875,-79826
405.90625,252.1875,-79826
399.9375,256.03125,-79826
399.9375,256.03125,-79826
347.71875,162.28125,-2286473
399.9375,256.03125,-79826
289.0,252.8125,-13524140
289.125,252.09375,-79826
377.90625,356.5,-2286473
273.875,232.03125,-79826
280.9375,239.5,-13532483
381.25,190.53125,-13532483
79.46875,314.84375,-13524140
331.0625,254.15625,-13524140
271.59375,175.03125,-13524140
336.34375,252.375,-13524140
275.46875,177.375,-13524140
397.40625,256.71875,-13532483
376.3125,237.8125,-2286473
284.8125,227.15625,-13524140
357.25,211.59375,-13524140
314.0,252.59375,-13524140
408.5625,173.78125,-13524140
329.375,272.28125,-2286473
311.5625,252.25,-79826
401.8125,254.5,-13524140
274.71875,177.3125,-2286473
274.4375,177.4375,-13532483
106.5625,302.875,-13524140
259.46875,279.96875,-79826
327.5625,255.28125,-13532483
318.75,250.3125,-13532483
106.75,302.65625,-13524140
316.3125,250.9375,-13524140
302.21875,253.0,-2286473
328.8125,250.625,-79826
319.96875,256.125,-13524140
330.21875,236.84375,-13524140
129.3125,92.96875,-13524140
289.90625,303.28125,-13524140
289.90625,303.28125,-13524140
314.90625,256.0,-79826
340.09375,247.9375,-13524140
323.6875,251.28125,-79826
181.5625,195.40625,-79826
399.65625,256.4375,-79826
318.4375,133.78125,-13524140
329.75,254.75,-13532483
323.1875,231.25,-13524140
400.75,256.5625,-79826
300.90625,260.09375,-79826
315.46875,257.59375,-79826
339.125,255.8125,-13532483
311.5625,252.1875,-4226771
328.0625,250.5,-13524140
107.53125,303.09375,-79826
327.5625,255.28125,-13532483
275.21875,177.3125,-2286473
335.59375,233.875,-2286473
316.3125,228.96875,-13524140
315.40625,258.3125,-13524140
297.0625,274.65625,-13524140
300.15625,279.59375,-13524140
314.125,251.84375,-13524140
316.21875,258.21875,-79826
302.21875,253.0,-2286473
309.1875,243.0,-4226771
252.90625,254.84375,-13532483
296.4375,273.96875,-13524140
292.28125,289.90625,-13524140
302.21875,253.0,-2286473
292.6875,290.96875,-13532483
292.6875,290.96875,-2286473
399.65625,256.4375,-79826
355.84375,152.71875,-79826
399.9375,256.6875,-79826
399.875,256.34375,-79826
347.84375,249.53125,-2286473
399.65625,256.4375,-79826
311.5625,252.1875,-4226771
293.3125,284.15625,-13524140
358.78125,212.96875,-13524140
323.125,231.125,-13524140
326.875,252.1875,-13532483
165.40625,200.625,-2286473
296.3125,277.0,-13524140
333.625,232.8125,-13524140
93.59375,322.5625,-79826
337.03125,168.34375,-79826
287.9375,253.875,-13524140
341.65625,164.09375,-13524140
333.78125,183.59375,-13524140
320.75,261.5,-79826
322.96875,231.15625,-13524140
297.96875,284.21875,-2286473
302.90625,259.59375,-79826
358.0625,127.875,-79826
354.8125,214.28125,-13532483
322.90625,231.0625,-13524140
332.875,251.125,-4226771
328.0625,247.03125,-79826
314.96875,258.28125,-13524140
380.03125,227.09375,-2286473
348.59375,162.40625,-13524140
266.9375,213.25,-13532483
338.78125,224.25,-79826
329.125,256.28125,-13524140
354.8125,214.28125,-13532483
106.53125,302.9375,-79826
106.53125,302.9375,-4226771
106.6875,302.75,-79826
81.25,295.15625,-2286473
302.21875,253.0,-2286473
327.375,199.71875,-79826
407.1875,256.84375,-13532483
106.6875,302.875,-79826
106.75,302.71875,-79826
349.25,162.28125,-13524140
323.0625,231.3125,-13524140
276.875,257.8125,-13524140
339.40625,198.625,-79826
